cand_id,bioguide_id,match_method,confidence
H4IA05102,L000111,authoritative,high
H4ID01032,C000345,authoritative,high
H4IL03077,L000563,authoritative,high
H4IL05031,B000518,authoritative,high
H4IL07037,D000096,authoritative,high
H4IL08043,F000442,authoritative,high
H4IL11096,W000273,authoritative,high
H4IL12060,B001295,authoritative,high
H4IL18059,L000552,authoritative,high
H4IN01012,V000108,authoritative,high
H4IN02051,M000481,authoritative,high
H4IN02101,D000607,authoritative,high
H4IN04099,S001143,authoritative,high
H4IN06185,S001229,authoritative,high
H4IN08108,H000807,authoritative,high
H4IN08249,M001233,authoritative,high
H4IN08264,H000807,authoritative,high
H4KS02107,B001258,authoritative,high
H4KS02164,S001228,authoritative,high
H4KS04087,T000260,authoritative,high
H4KY01040,W000413,authoritative,high
H4KY02030,L000293,authoritative,high
H4KY06072,C001058,authoritative,high
H4LA00016,J000287,authoritative,high
H4LA03028,M001161,authoritative,high
H4LA05130,M001192,authoritative,high
H4LA05221,A000374,authoritative,high
H4LA06153,G000577,authoritative,high
H4LA06211,F000110,authoritative,high
H4LA07029,B001255,authoritative,high
H4MA03022,M000312,authoritative,high
H4MA05084,C001101,authoritative,high
H4MA06033,T000266,authoritative,high
H4MA06090,M001196,authoritative,high
H4MD02059,E000093,authoritative,high
H4MD02232,O000176,authoritative,high
H4MD03156,E000301,authoritative,high
H4MD06340,M001232,authoritative,high
H4ME02093,B000081,authoritative,high
H4ME02234,P000611,authoritative,high
H4MI03045,E000092,authoritative,high
H4MI04118,M001201,authoritative,high
H4MI04126,M001194,authoritative,high
H4MI07103,W000798,authoritative,high
H4MI08135,B001293,authoritative,high
H4MI08218,M001237,authoritative,high
H4MI11097,T000475,authoritative,high
H4MI12079,D000624,authoritative,high
H4MI13093,R000281,authoritative,high
H4MN01070,G000536,authoritative,high
H4MN03118,M001234,authoritative,high
H4MN06087,E000294,authoritative,high
H4MO01134,B001324,authoritative,high
H4MO03221,O000177,authoritative,high
H4MO05069,M000316,authoritative,high
H4MO05234,C001061,authoritative,high
H4MO08162,S001195,authoritative,high
H4MO09046,H000948,authoritative,high
H4MP01022,K000404,authoritative,high
H4MS01078,W000437,authoritative,high
H4MS02068,T000193,authoritative,high
H4MT00050,R000103,authoritative,high
