election_cycle,transaction_year,transaction_month,cand_id,bioguide_id,total_raised,transaction_count
1980,1979,,H8MS04123,,3205,1
1980,1979,,H8MT01018,,1161,4
1980,1979,,H8MT01091,,2350,6
1980,1979,,H8NC05014,,5400,3
1980,1979,,H8NC09016,,5000,1
1980,1979,,H8NE01016,B000403,4550,14
1980,1979,,H8NE02022,,12750,42
1980,1979,,H8NJ06027,,22600,1
1980,1979,,H8NJ12017,,300,1
1980,1979,,H8NJ14013,,1000,2
1980,1979,,H8NJ15010,,400,2
1980,1979,,H8NY01080,,2700,7
1980,1979,,H8NY02021,,5236,21
1980,1979,,H8NY09034,,15500,52
1980,1979,,H8NY17011,,5525,9
1980,1979,,H8NY18068,,57176,6
1980,1979,,H8NY18076,,750,2
1980,1979,,H8NY21013,G000598,20975,38
1980,1979,,H8NY23019,,3000,5
1980,1979,,H8NY27010,,3385,9
1980,1979,,H8NY29016,,1950,6
1980,1979,,H8NY33018,,1650,4
1980,1979,,H8OH02017,,1200,5
1980,1979,,H8OH03015,H000074,11618,42
1980,1979,,H8OH03023,,5372,15
1980,1979,,H8OH03064,,710,5
1980,1979,,H8OH05010,,3905,1
1980,1979,,H8OH18039,,1500,4
1980,1979,,H8OH19037,,4050,19
1980,1979,,H8OK01025,,6280,12
1980,1979,,H8OK02023,,41594,145
1980,1979,,H8OK06016,,1000,2
1980,1979,,H8OR04068,,2650,7
1980,1979,,H8PA01039,,3500,13
1980,1979,,H8PA04017,,11450,15
1980,1979,,H8PA07044,,1050,3
1980,1979,,H8PA14016,,5000,1
1980,1979,,H8PA15054,,11318,31
1980,1979,,H8PA21037,,920,3
1980,1979,,H8PA21110,,156,1
1980,1979,,H8PA23017,,400,2
1980,1979,,H8PA25061,,1541,1
1980,1979,,H8RI02041,,2200,4
1980,1979,,H8SC04029,,10650,19
1980,1979,,H8SC04037,,9631,4
1980,1979,,H8SD01014,D000064,3000,9
1980,1979,,H8TN01012,,6972,10
1980,1979,,H8TN05021,,750,3
1980,1979,,H8TX05011,,8650,17
1980,1979,,H8TX06027,G000365,25900,34
1980,1979,,H8TX11027,,9150,16
1980,1979,,H8TX11035,,5000,5
1980,1979,,H8TX14013,,36900,66
1980,1979,,H8TX17081,S000851,4370,16
1980,1979,,H8TX18014,,3285,7
1980,1979,,H8TX18022,,250,1
1980,1979,,H8TX19020,,28450,118
1980,1979,,H8TX19053,,1745,14
1980,1979,,H8TX21018,,2300,3
1980,1979,,H8TX21067,,47460,123
1980,1979,,H8TX23022,,950,4
1980,1979,,H8UT02040,,5030,11
1980,1979,,H8VA01014,,400,2
1980,1979,,H8WA02026,,2340,8
1980,1979,,H8WA05037,,1294,1
1980,1979,,H8WA06035,,500,1
1980,1979,,H8WA07066,,1500,5
1980,1979,,H8WI03012,,168,4
1980,1979,,H8WI08011,,875,1
1980,1979,,H8WI09027,,1330,3
1980,1979,,H8WI09050,S000244,4560,19
1980,1979,,H8WI09076,,450,1
1980,1979,,H8WV02024,,12050,38
